user_id,created_at,country,plan_type,user_age,post_id,post_category,post_created_at,votes_received,user_total_posts,days_since_signup,device_type
U01988,2025-02-18T02:07:44,PY,pro,26.0,P0008515, sport ,2025-05-07T20:55:28,7,16,78,mobile
U00236,2025-06-22T07:49:10,BR,free,27.0,P0001023,tech,2025-09-13T20:31:06,1,9,83,web
U00791,2024-02-12T02:45:45,CL,free,28.0,P0003405,tech,2024-02-14T05:17:48,11,2,2,mobile
U01522,2024-09-22T07:06:50,US,free,16.0,P0006524,finance,2024-09-24T07:51:34,5,2,2,web
U01092,2025-07-18T02:27:52,PY,free,,P0004665,education,2025-07-24T04:56:56,7,2,6,mobile
U00488,2025-03-19T16:56:05,US,free,43.0,P0002030,finance,2025-03-28T12:10:25,3,10,9,web
U00480,2024-07-29T02:09:07,US,free,26.0,P0002003,life,2024-08-27T10:38:58,5,6,29,web
U01863,2024-12-12T21:40:02,CL,free,31.0,P0008000,health,2025-02-02T21:09:32,5,5,52,mobile
U00819,2024-04-26T02:18:59,BR,free,26.0,P0003544,health,2024-07-28T05:48:12,1,29,93,mobile
U00880,2024-12-12T23:03:33,UY,free,32.0,P0003784, science ,2024-12-19T17:52:17,7,2,7,mobile
U00640,2024-09-19T05:48:36,MX,Pro ,35.0,P0002645,TECH,2024-09-26T10:26:37,8,15,7,mobile
U00542,2024-07-31T07:57:24,BR,pro,21.0,P0002261,finance,2024-08-01T21:07:54,3,7,1,mobile
U00114,2025-07-13T09:31:05,BR,free,29.0,P0000488,science,2025-09-18T17:55:13,15,24,67,mobile
U01068,2024-07-14T05:40:30,ES,free,26.0,P0004588,Music,2024-08-01T16:25:26,3,1,18,web
U01798,2025-06-15T17:25:26,AR,free,16.0,P0007709,gaming,2025-06-17T17:48:26,12,12,2,web
U00680,2024-02-26T11:04:14,AR,free,25.0,P0002865, education ,2024-03-02T11:22:46,5,4,5,desktop
U01854,2024-07-15T07:01:29,US,free,23.0,P0007964,science,2024-07-21T15:27:57,9,6,6,mobile
U01956,2025-02-19T10:47:45,PY,free,16.0,P0008381,finance,2025-04-28T01:34:08,6,11,68,web
U01179,2024-08-28T23:29:24,AR,free,37.0,P0005024,education,2024-09-14T18:31:09,7,4,17,web
U01871,2025-07-15T19:58:22,PE,free,17.0,P0008043,music,2025-08-08T05:42:11,3,3,24,mobile
U00707,2024-10-07T17:32:12,MX,PRo,27.0,P0003001,FINANCE,2024-11-22T14:18:25,0,11,46,mobile
U00753,2024-02-10T23:28:54,MX,free,,P0003210,science,2024-03-03T23:22:03,2,5,22,mobile
U01754,2025-01-17T07:05:21,US,free,39.0,P0007502,sports,2024-12-18T16:05:21,3,6,0,web
U01289,2024-07-07T00:39:58,US,enterprise,40.0,P0005508, travel ,2024-07-26T09:41:05,6,5,19,mobile
U00243,2025-02-03T13:41:27,PY,free,35.0,P0001057,tech,2025-02-23T22:36:53,9,15,20,mobile
U01985,2025-12-22T07:02:38,MX,free,23.0,P0008503,life,2025-12-22T14:17:06,11,4,0,web
U00485,2025-09-05T15:23:47,BR,free,,P0002019,science,2025-09-24T01:27:51,4,2,19,web
U00709,2024-01-28T03:12:20,PE,free,25.0,P0003026,science,2024-06-19T19:36:54,2,18,143,mobile
U00488,2025-03-19T16:56:05,US,free,43.0,P0002037,travel,2025-04-24T14:24:28,6,10,34,web
U00962,2024-12-07T16:09:40,AR,free,28.0,P0004148,tech,2024-12-28T23:13:53,3,9,21,mobile
U01988,2025-02-18T02:07:44,PY,pro,26.0,P0008519, tech ,2025-06-03T02:08:48,17,16,105,web
U01513,2024-08-12T23:24:15,BR,free,32.0,P0006482,gaming,2024-08-25T22:58:34,3,22,13,web
U00870,2024-03-04T03:44:35,US,Free,23.0,P0003756,tech,2024-03-05T12:44:44,1,3,1,desktop
U01652,2025-12-25T01:16:57,US,free,,P0007121,tech,2025-12-25T09:37:31,14,2,0,mobile
U01564,2025-12-21T05:35:01,US,pro,26.0,P0006685,finance,2025-12-28T23:45:04,6,3,7,desktop
U01502,2025-10-15T18:04:58,BR,free,22.0,P0006422,tech,2025-11-12T17:37:44,3,6,28,mobile
U00546,2024-08-09T20:59:20,MX,free,43.0,P0002277,tech,2024-09-01T17:07:38,7,14,23,mobile
U01118,2024-01-30T02:42:08,AR,pro,16.0,P0004767,life,2024-03-10T11:35:15,9,11,40,web
U00087,2024-01-08T12:18:18,ES,free,23.0,P0000361,tech,2024-06-12T21:06:07,10,39,156,web
U00214,2025-04-28T19:54:07,US,free,25.0,P0000933,sports,2025-06-21T00:51:12,3,7,54,web
U00924,2024-09-15T14:37:59,PY,free,27.0,P0003970,TECH,2024-12-06T14:43:32,10,9,82,web
U01923,2025-07-08T05:56:39,US,free,22.0,P0008248,health,2025-09-19T06:48:33,7,3,73,mobile
U01464,2024-12-04T09:18:11,CL,free,,P0006256,science,2024-12-12T07:45:40,2,2,8,web
U00087,2024-01-08T12:18:18,ES,free,23.0,P0000347,sciense,2024-03-12T08:48:31,3,39,64,web
U01790,2025-04-11T06:27:42,BR,free,21.0,P0007665,science,2025-05-15T05:41:05,7,9,34,web
U00215,2024-01-31T09:15:15,BR,free,33.0,P0000941,tech,2024-02-14T15:55:59,13,11,14,web
U01085,2024-02-12T18:08:15,US,free,40.0,P0004631,science,2024-02-27T23:14:07,7,9,15,mobile
U00821,2024-04-30T04:21:22,MX,free,19.0,P0003558,finance,2024-05-03T11:58:00,14,21,3,mobile
U00262,2025-07-14T05:20:06,PY, pro ,36.0,P0001143,science,2025-07-22T01:11:00,4,19,8,desktop
U01843,2024-05-09T17:31:38,PY,free,33.0,P0007922,science,2024-09-03T23:27:41,4,31,117,web
U00214,2025-04-28T19:54:07,US,free,25.0,P0000928,tech,2025-05-01T21:26:20,5,7,3,web
U01900,2025-05-08T09:07:38,US,enterprise,38.0,P0008168,life,2025-05-13T20:28:35,20,7,5,web
U01714,2024-08-21T20:01:59,BR,free,,P0007361,science,2024-12-06T16:51:05,5,15,107,mobile
U00172,2024-02-04T02:26:42,UY,free,23.0,P0000737,tech,2024-02-05T02:26:01,9,3,1,mobile
